tweet_id,user_id,conversation_id,content,posted_on
1381950700037545988,1351300226540310535,,"@JaehaMoonDust Watching someone you love fall in love with someone else is quite painful, she doesn’t wish that on… https://t.co/K9Hhe1wb73",2021-04-13 12:41:36
1381801812190244865,1201001712523390977,,"✉️ You used to watch movies all the time. You need to start watching them again, especially foreign ones. They'll r… https://t.co/w8XNpw7mrE",2021-04-13 02:49:59
1381940421497135105,870644269,,"Need some books to read? We've got you covered. 

https://t.co/PiSJZfrqtR",2021-04-13 12:00:46
1381950683117617152,1375837384818847748,,"@BeastBoyShub It's the time to start reading spritual books 
Start with Bhagwad Geeta",2021-04-13 12:41:32
1381623331846303744,156048040,,".@BuzzFeed recommends adding #OfWomenAndSalt by @GabiMGarcia , to your reading list!📚📝🌟 #SPRC2021 @BuzzFeedBooks https://t.co/Va0MTpvkEF",2021-04-12 15:00:46
1381924018723418112,833094365706850305,,"A bit late joining in today, as I am still recovering from surgery, but here's a little shout out for my latest boo… https://t.co/ooEYpJNJFH",2021-04-13 10:55:35
1381950562476961792,1157389907360407554,,"Install the Headway App for free and receive inspirational quotes every day 🥰

https://t.co/PtWeKq1Vao
#GetHeadway… https://t.co/tOH9h1BKqy",2021-04-13 12:41:04
1381904099587801088,39214158,,"chenle said during his self-isolation, he didnt play games but he kept practicing while watching the other members… https://t.co/MJN20PCUaW",2021-04-13 09:36:26
1381950626364526598,3034927169,,@hmor20 @BBCTalkback @DebShoes72 @andreemurphy @TomasMaguire1 @mickymaguire73 Such Bollocks in the book.   Was reading it and stopped. Crap,2021-04-13 12:41:19
1381950584874397704,1347837998709133313,,@dazaidk HELPP I DONT KNOW ANY FANFICS WITH POETIC SMUT BUT IF U LIKE READING BOOKS I RECOMMEND THE SONG OF ACHILLE… https://t.co/npdl0iVgMK,2021-04-13 12:41:09
1381906674328469504,1094574280560599040,,"chenle online: computer games are actually super cool

chenle irl: when i was in quarantine i loved reading, i read… https://t.co/BD0q3pcjQN",2021-04-13 09:46:40
1381914974898032643,2573683565,,"I literally have no interest in watching my favorite shows incorporate COVID into their storylines. 
I watch them t… https://t.co/pgzLVLmI3b",2021-04-13 10:19:39
1381846453669142530,1248532803345477632,,"1 year into collecting books and now, finally, complete ko na lahat ng jonaxx books. ♥ 

Manifesting complete jonax… https://t.co/GEIQm50nvF",2021-04-13 05:47:22
1381950560115523588,518454941,,"@hard2xplain This tape is like watching a movie. Whoever made it put their soul into these highlights
https://t.co/ljHGCeo6FC",2021-04-13 12:41:03
1381950402975854594,2514757392,,Warriors time to Mass Report the obnoxious movie trailer of Nyay that is made without the permission of Sushant’s f… https://t.co/J2Npuj22H2,2021-04-13 12:40:26
1381837484502347776,23544596,,We’ve all been on bad dates to the Arclight where you’re watching a Greta Gerwig movie &amp; the guy doesn’t like it bc… https://t.co/pP4VrXo76F,2021-04-13 05:11:44
1381950540440076292,1359303861870223361,,"Today hoping to get another five hundred words in for my fantasy book. Technically beach episode.
#BookBoost #Reading #writing",2021-04-13 12:40:58
1381945154639044608,221647151,,A movie definitely worth watching! #Udaan being the Hindi dubbed version of Soorarai Pottru has been in talks for l… https://t.co/zY3DZeAqp2,2021-04-13 12:19:34
1381950528805085189,921450662893940736,,Shallat to Astor for reading and watching all those horrible as hell movies and books so we wouldn't have to. What a star!,2021-04-13 12:40:56
1381950496722857987,1243486292,,@islajtelford I was watching a movie the other day where the main character had one and it took me a while to figur… https://t.co/j2Z440c7a5,2021-04-13 12:40:48
1381950496483725315,431739135,,"Happy, happy, happy book birthday to @MariahFrederick, whose DEATH OF A NEW AMERICAN is out today! I know what I'll… https://t.co/q3OjYPQdxv",2021-04-13 12:40:48
1381950492474019842,85156022,,No longer watching movies pertaining to slavery or police killings of my ppl. No longer supporting the narrative wh… https://t.co/YBIvsqdhJY,2021-04-13 12:40:47
1381908377970741249,1374748727701737473,,"(Mix IG live)
Q: What series are you currently watching?
Mix: Nine-tails
#สาดน้ำทิพย์xเอิร์ทมิกซ์",2021-04-13 09:53:26
1381950469355016196,1314558691857891328,,"Our five card spread:  
 Want to know what this means? 
 DM account in bio to book a more in depth and explained Ta… https://t.co/0Ew0snRxLN",2021-04-13 12:40:41
1381780950728593409,963218533,,I am truly upset to hear about pacific theaters and Archlight cinemas closing. LA Staples of mine for magical movie… https://t.co/VA0cQhfSiV,2021-04-13 01:27:05
1381943107122458627,1043634829978300416,,"Happiest of book birthday's to the fantastic MALICE!!!!!!
💚🖤💚🖤💚🖤💚🖤💚🖤
Get this lovely gay villainous Sleeping Beauty… https://t.co/7OQYnYrvFZ",2021-04-13 12:11:26
1381950412878540803,2243010122,,@raj_mehta @AndrewFoy82 @drjohnm @dr_dmorgan At ultra low pre-test prob situations - which is the bane of my existe… https://t.co/HyALYPUFeJ,2021-04-13 12:40:28
1381950383002542087,890078275652997120,,I'm reading King of Film and highly recommend it! Join me in reading it! https://t.co/PhPO7RX6Hs https://t.co/cqKbJSf0Vw,2021-04-13 12:40:21
1380776387619999744,950661807676579840,,Our Science Director @AlexDavidRogers shares his response after watching @seaspiracy and provides a list of documen… https://t.co/DFTHJQEFRr,2021-04-10 06:55:19
1381950325137887235,1967543408,,Announcing the winners of this year's March Madness book tournament! These books had some stiff competition! Thanks… https://t.co/rZwP0i1kwj,2021-04-13 12:40:07
1381950305693265924,2981782721,,"""I got so many feels while reading this. BODY AND SOUL is a coming-of-age, coming out, coming home story. There is… https://t.co/z9SrjeLxIC",2021-04-13 12:40:02
1381184493910908932,1282991703637528579,,"New post out now! I recommend checking out symbols, rhythm and inspiration to fully understand. Thanks 😊🦋… https://t.co/RpzFMjwAv1",2021-04-11 09:56:59
1381901921896775681,514161676,,"Looking For An Awesome Book: History of California: A Captivating Guide to the History of the Golden State, Startin… https://t.co/X99hs1Cj2N",2021-04-13 09:27:47
1381230600258998278,42379703,,"La Femma Anjola is still showing in cinemas. Check my timeline for cinema schedules.
Today Sunday is a good day to… https://t.co/sxxm6LDIVj",2021-04-11 13:00:11
1381912615467810820,737383611016548353,1381230600258998278,@ritaUdominic @NonsoBassey All I was watching was another version of Lady Gaga and Bradley cooper. Nigerians should… https://t.co/basHmoyDq2,2021-04-13 10:10:16
1381947122015162370,1155531370028032002,,"Final year is just frustration, debit alerts, rice, sun, loss of interest in classes , laziness and watching of movies .",2021-04-13 12:27:23
1381950256141770752,1130819319057780736,,| I'm reading a book on @JoannaOfCastile's youngest and reading about how her treasury was raided to pay for Cather… https://t.co/OOxLq3hMXX,2021-04-13 12:39:51
1381619746278232066,403962650,,"there were so many fans passing zhehan books and he even said ""i can't finish reading"" HAHAHAHA but omg he even not… https://t.co/BkzaSq5qWq",2021-04-12 14:46:31
1381950246981353475,2241010532,,"When watching a movie at home, whats your go to snack? #Moviesnack 

Sour Patch Kids or Peanut M&amp;M's",2021-04-13 12:39:48
1381950234880790534,1232792831976255488,,"We’ve put together some questions to guide your reading and reflection. 

Send us your book review with any questio… https://t.co/DA9MSzr1Nl",2021-04-13 12:39:46
1381948247355355136,1319928484668518401,,"this tv series is very worth watching i have watched it so many times i'm actually waiting for the second season 
s… https://t.co/nSLfRSPF8A",2021-04-13 12:31:52
1381950221832368134,1069731019,,"@TheDouggernaut Complicated answer boiled down to: it was what I expected. Not a great superhero movie, a fine Meli… https://t.co/w1qtv1CoDG",2021-04-13 12:39:42
1381950221341630469,1553117124,,@MirrorManStan @garrett_emery Lmao you were like let me just experience the movie instead of watching it. (Since it’s about dreams 😆😅),2021-04-13 12:39:42
1381900249883668483,472431999,,This is the one single bit of the Angelic Doctor some people cite to turn Saint Thomas into a 13th-century Cato Ins… https://t.co/3uqNAF8zhU,2021-04-13 09:21:08
1381950219898781698,1297696134249447428,1381900249883668483,Yeah I laughed at French calling drag queen story hour a “blessing of liberty” too but ultimately I have no idea ho… https://t.co/r6RzvCZgD2,2021-04-13 12:39:42
