user_id,is_comment,tweet_id,comment_id,retweeted_on
03864592,n,1380588598085496832,1380588598085496832,2021-04-09 18:29:06
86671462,n,1380588587746476037,1380588587746476037,2021-04-09 18:29:04
03817196,n,1380588571682217990,1380588571682217990,2021-04-09 18:29:00
86451087,n,1380587562784468998,1380587562784468998,2021-04-09 18:24:59
33953062,n,1380584646673584140,1380584646673584140,2021-04-09 18:13:24
70730384,n,1380584600712458242,1380584600712458242,2021-04-09 18:13:13
13111782,n,1380584397188005889,1380584397188005889,2021-04-09 18:12:24
49307212,n,1380584297078403077,1380584297078403077,2021-04-09 18:12:01
66149647,n,1380583364080644101,1380583364080644101,2021-04-09 18:08:18
78525882,n,1380581632755830790,1380581632755830790,2021-04-09 18:01:25
84653363,n,1380581506901549057,1380581506901549057,2021-04-09 18:00:55
29938247,n,1380581242115096588,1380581242115096588,2021-04-09 17:59:52
41828694,n,1380580532065427456,1380580532065427456,2021-04-09 17:57:03
02862419,n,1380580508732637185,1380580508732637185,2021-04-09 17:56:57
06679189,n,1380579557070270477,1380579557070270477,2021-04-09 17:53:10
04560461,n,1380579383631618049,1380579383631618049,2021-04-09 17:52:29
34403596,n,1380579339582980105,1380579339582980105,2021-04-09 17:52:19
50160538,n,1380579276756549632,1380579276756549632,2021-04-09 17:52:04
10929290,n,1380579023730921473,1380579023730921473,2021-04-09 17:51:03
00945724,n,1380578447769149443,1380578447769149443,2021-04-09 17:48:46
